Date,Open,High,Low,Close,Volume
1990-07-03,32180,32415,32134,32415,0
1990-07-04,32414,32627,32399,32446,0
1990-07-05,32449,32591,32352,32352,0
1990-07-06,32346,32482,32272,32445,0
1990-07-09,32458,32609,32418,32538,0
1990-07-10,32553,32553,32152,32152,0
1990-07-11,32151,32457,32144,32294,0
1990-07-12,32331,32578,32266,32575,0
1990-07-13,32617,32768,32524,32644,0
1990-07-16,32678,33022,32678,33022,0
1990-07-17,33065,33178,32969,33172,0
1990-07-18,33174,33187,32972,33048,0
1990-07-19,33051,33078,32848,33056,0
1990-07-20,33023,33023,32417,32422,0
1990-07-23,32421,32421,31782,31895,0
1990-07-24,31834,31924,31504,31702,0
1990-07-25,31739,31846,31651,31701,0
1990-07-26,31706,31795,31328,31370,0
1990-07-27,31341,31341,30378,30863,0
1990-07-30,30846,30846,30297,30443,0
1990-07-31,30504,31041,30504,31036,0
1990-08-01,31086,31372,30657,30838,0
1990-08-02,30800,30800,29929,30245,0
1990-08-03,30222,30222,29516,29516,0
1990-08-06,29486,29486,28273,28600,0
1990-08-07,28599,28599,27241,27653,0
1990-08-08,27657,28522,27573,28509,0
1990-08-09,28502,28502,27616,27616,0
1990-08-10,27646,27919,27168,27330,0
1990-08-13,27282,27282,25914,26176,0
1990-08-14,26194,26789,25949,26673,0
1990-08-15,26717,28159,26717,28112,0
1990-08-16,28097,28097,27436,27549,0
1990-08-17,27527,27527,26652,26787,0
1990-08-20,26760,26924,26456,26490,0
1990-08-21,26549,26956,26298,26298,0
1990-08-22,26254,26254,24845,25211,0
1990-08-23,25199,25199,23649,23738,0
1990-08-24,23731,24485,23547,24166,0
1990-08-27,24183,25142,24183,25142,0
1990-08-28,25146,25914,25146,25711,0
1990-08-29,25701,25701,24855,24895,0
1990-08-30,24916,25673,24751,25670,0
1990-08-31,25646,26183,25561,25978,0
1990-09-03,26014,26163,25418,25420,0
1990-09-04,25429,25460,24803,24908,0
1990-09-05,24888,24888,23641,24078,0
1990-09-06,24096,24268,23620,23812,0
1990-09-07,23787,24045,23406,23962,0
1990-09-10,23997,25081,23997,25081,0
1990-09-11,25064,25064,24471,24605,0
1990-09-12,24601,25288,24464,25216,0
1990-09-13,25254,25488,25012,25075,0
1990-09-14,25064,25064,24834,24897,0
1990-09-17,24889,24889,24286,24366,0
1990-09-18,24331,24331,23308,23885,0
1990-09-19,23879,24131,23726,23726,0
1990-09-20,23734,23836,23432,23603,0
1990-09-21,23570,23782,23050,23778,0
1990-09-25,23762,23762,23219,23359,0
1990-09-26,23371,23518,22251,22251,0
1990-09-27,22232,22312,21532,21772,0
1990-09-28,21756,21756,20671,20984,0
1990-10-01,20986,21076,19782,20222,0
1990-10-02,20222,22899,20222,22898,0
1990-10-03,22898,23463,22578,22849,0
1990-10-04,22829,22829,22260,22278,0
1990-10-05,22308,23140,22308,22828,0
1990-10-08,22858,23630,22858,23630,0
1990-10-09,23643,23971,23362,23495,0
1990-10-11,23480,23480,22521,22586,0
1990-10-12,22557,22557,22132,22390,0
1990-10-15,22404,23109,22404,23109,0
1990-10-16,23143,23819,23143,23606,0
1990-10-17,23615,24054,23551,23859,0
1990-10-18,23858,24367,23763,24367,0
1990-10-19,24364,25003,24364,24481,0
1990-10-22,24490,25232,24490,25071,0
1990-10-23,25099,25433,25084,25298,0
1990-10-24,25271,25271,24677,24877,0
1990-10-25,24908,25486,24908,25353,0
1990-10-26,25323,25323,24866,25006,0
1990-10-29,25004,25393,25004,25329,0
1990-10-30,25329,25329,24885,25242,0
1990-10-31,25253,25445,25145,25194,0
1990-11-01,25160,25160,24205,24295,0
1990-11-02,24244,24385,23672,24195,0
1990-11-05,24232,24575,24232,24385,0
1990-11-06,24416,24645,23868,23966,0
1990-11-07,23938,23938,23401,23500,0
1990-11-08,23444,23444,22834,22970,0
1990-11-09,22947,22947,22482,22932,0
1990-11-13,22939,23974,22939,23974,0
1990-11-14,23941,24046,23630,23937,0
1990-11-15,23931,23960,23453,23487,0
1990-11-16,23455,23455,22874,23172,0
1990-11-19,23193,23518,23177,23518,0
1990-11-20,23479,23479,23203,23205,0
1990-11-21,23158,23158,22615,22817,0
1990-11-22,22821,23400,22821,23400,0
1990-11-26,23417,23766,23417,23698,0
1990-11-27,23737,23737,23533,23624,0
1990-11-28,23610,23767,23046,23054,0
1990-11-29,23031,23031,22266,22713,0
1990-11-30,22684,22684,21934,22455,0
1990-12-03,22457,23034,22457,22726,0
1990-12-04,22679,22679,21862,21863,0
1990-12-05,21902,22251,21627,22194,0
1990-12-06,22239,22609,22239,22553,0
1990-12-07,22592,23538,22592,23522,0
1990-12-10,23565,23862,23351,23785,0
1990-12-11,23760,24006,23434,23957,0
1990-12-12,23956,24326,23893,23999,0
1990-12-13,24036,24643,24036,24643,0
1990-12-14,24637,24637,24174,24350,0
1990-12-17,24327,24327,24017,24088,0
1990-12-18,24094,24424,24094,24424,0
1990-12-19,24473,25064,24473,24877,0
1990-12-20,24853,24853,24516,24525,0
1990-12-21,24495,24495,23964,24120,0
1990-12-25,24090,24090,23768,23768,0
1990-12-26,23785,23976,23695,23888,0
1990-12-27,23938,24264,23866,23941,0
1990-12-28,23954,24055,23771,23849,0
1991-01-04,23827,24110,23796,24069,0
1991-01-07,24037,24037,23736,23737,0
1991-01-08,23708,23708,22859,22898,0
1991-01-09,22847,23099,22662,22969,0
1991-01-10,22925,23185,22712,23047,0
1991-01-11,23078,23241,22856,23241,0
1991-01-14,23198,23239,22911,23213,0
1991-01-16,23140,23140,22382,22443,0
1991-01-17,22403,23447,22100,23447,0
1991-01-18,23479,24050,23323,23808,0
1991-01-21,23755,23755,23352,23352,0
1991-01-22,23372,23497,23202,23254,0
1991-01-23,23173,23173,22952,23050,0
1991-01-24,23114,23395,23114,23269,0
1991-01-25,23343,23608,23343,23573,0
1991-01-28,23575,23575,23463,23569,0
1991-01-29,23563,23609,23422,23460,0
1991-01-30,23444,23555,23405,23410,0
1991-01-31,23477,23655,23222,23293,0
1991-02-01,23271,23271,22860,23157,0
1991-02-04,23179,23294,23135,23287,0
1991-02-05,23367,23822,23367,23822,0
1991-02-06,23877,24311,23877,23952,0
1991-02-07,24001,24162,23926,24104,0
1991-02-08,24114,24384,24092,24296,0
1991-02-12,24333,25074,24333,24935,0
1991-02-13,24933,25226,24881,25139,0
1991-02-14,25185,25406,25185,25356,0
1991-02-15,25322,25345,25010,25344,0
1991-02-18,25378,26230,25378,26230,0
1991-02-19,26244,26482,26052,26167,0
1991-02-20,26153,26340,25836,26199,0
1991-02-21,26137,26217,25954,26024,0
1991-02-22,26059,26265,25903,25903,0
1991-02-25,25908,26467,25852,26463,0
1991-02-26,26500,26710,26255,26283,0
1991-02-27,26229,26229,25987,26094,0
1991-02-28,26177,26624,26177,26409,0
1991-03-01,26389,26389,25857,25882,0
1991-03-04,25852,26029,25813,25976,0
1991-03-05,25981,26149,25897,25913,0
1991-03-06,25982,26390,25982,26383,0
1991-03-07,26365,26478,26244,26398,0
1991-03-08,26432,26608,26379,26608,0
1991-03-11,26630,26754,26610,26669,0
1991-03-12,26644,26745,26606,26727,0
1991-03-13,26692,26692,26389,26418,0
1991-03-14,26478,26591,26366,26542,0
1991-03-15,26561,27003,26522,26843,0
1991-03-18,26916,27270,26916,27147,0
1991-03-19,27066,27193,26927,27007,0
1991-03-20,26903,26903,26449,26449,0
1991-03-22,26514,26783,26514,26613,0
1991-03-25,26603,26803,26603,26646,0
1991-03-26,26674,26708,26323,26339,0
1991-03-27,26432,26609,26105,26105,0
1991-03-28,26027,26316,25786,26207,0
1991-03-29,26212,26340,26085,26292,0
1991-04-01,26238,26238,25914,26007,0
1991-04-02,25956,26275,25914,26252,0
1991-04-03,26323,26803,26323,26780,0
1991-04-04,26753,26793,26608,26690,0
1991-04-05,26708,26787,26598,26767,0
1991-04-08,26765,26825,26591,26608,0
1991-04-09,26560,26587,26317,26317,0
1991-04-10,26271,26370,26191,26269,0
1991-04-11,26308,26444,26211,26425,0
1991-04-12,26429,26607,26393,26583,0
1991-04-15,26620,26896,26620,26696,0
1991-04-16,26746,26894,26615,26813,0
1991-04-17,26859,27092,26859,26980,0
1991-04-18,26995,27043,26700,26799,0
1991-04-19,26753,26753,26517,26542,0
1991-04-22,26492,26492,26237,26237,0
1991-04-23,26189,26569,26078,26492,0
1991-04-24,26516,26586,26329,26330,0
1991-04-25,26316,26342,26038,26039,0
1991-04-26,26100,26256,25994,26124,0
1991-04-30,26147,26259,26094,26111,0
1991-05-01,26194,26530,26194,26489,0
1991-05-02,26518,26649,26414,26478,0
1991-05-07,26500,26524,26326,26342,0
1991-05-08,26313,26368,26178,26310,0
1991-05-09,26301,26470,26290,26439,0
1991-05-10,26440,26449,26213,26274,0
1991-05-13,26215,26338,26092,26093,0
1991-05-14,26084,26283,26030,26030,0
1991-05-15,26002,26002,25742,25822,0
1991-05-16,25762,25771,25497,25520,0
1991-05-17,25583,25789,25583,25702,0
1991-05-20,25731,25739,25331,25523,0
1991-05-21,25461,25556,25228,25481,0
1991-05-22,25515,25769,25399,25399,0
1991-05-23,25466,25721,25351,25644,0
1991-05-24,25678,25741,25451,25529,0
1991-05-27,25544,25638,25353,25426,0
1991-05-28,25406,25517,25341,25391,0
1991-05-29,25457,25650,25457,25495,0
1991-05-30,25556,25720,25556,25647,0
1991-05-31,25717,25901,25717,25790,0
1991-06-03,25841,26017,25745,25913,0
1991-06-04,25818,25818,25540,25557,0
1991-06-05,25545,25625,25271,25290,0
1991-06-06,25299,25299,24912,24984,0
1991-06-07,25031,25213,25027,25035,0
1991-06-10,25001,25001,24598,24598,0
1991-06-11,24572,24721,24460,24663,0
1991-06-12,24719,24876,24483,24483,0
1991-06-13,24455,24808,24334,24808,0
1991-06-14,24825,25136,24825,25094,0
1991-06-17,25090,25100,24892,24943,0
1991-06-18,24885,24885,24649,24685,0
1991-06-19,24657,24657,23895,23997,0
1991-06-20,23990,24218,23885,24082,0
1991-06-21,24095,24428,24048,24275,0
1991-06-24,24263,24263,23763,23765,0
1991-06-25,23695,23907,23436,23907,0
1991-06-26,23932,24123,23744,23766,0
1991-06-27,23700,23835,23391,23543,0
1991-06-28,23575,23716,23215,23291,0
1991-07-01,23377,24180,23377,24109,0
1991-07-02,24137,24322,23996,23996,0
1991-07-03,23924,23924,23344,23373,0
1991-07-04,23292,23315,22902,23136,0
1991-07-05,23191,23364,22898,22898,0
1991-07-08,22885,22970,22175,22176,0
1991-07-09,22214,22668,21731,22609,0
1991-07-10,22651,23179,22520,23121,0
1991-07-11,23090,23090,22878,22938,0
1991-07-12,22964,23153,22964,23138,0
1991-07-15,23194,23523,23194,23459,0
1991-07-16,23483,23598,23374,23375,0
1991-07-17,23308,23308,23047,23061,0
1991-07-18,23045,23045,22660,22909,0
1991-07-19,22923,23064,22841,22866,0
1991-07-22,22874,23006,22705,22705,0
1991-07-23,22689,22842,22541,22759,0
1991-07-24,22779,23297,22779,23297,0
1991-07-25,23305,23441,23212,23333,0
1991-07-26,23288,23675,23101,23519,0
1991-07-29,23546,23665,23418,23444,0
1991-07-30,23467,23956,23467,23873,0
1991-07-31,23905,24157,23905,24121,0
1991-08-01,24074,24074,23856,24073,0
1991-08-02,23971,24048,23822,24028,0
1991-08-05,24041,24084,23830,23833,0
1991-08-06,23789,23789,23463,23465,0
1991-08-07,23560,23704,23431,23691,0
1991-08-08,23717,23839,23475,23482,0
1991-08-09,23482,23539,23373,23435,0
1991-08-12,23415,23415,22986,22986,0
1991-08-13,22928,23114,22844,22872,0
1991-08-14,22904,23393,22904,23393,0
1991-08-15,23331,23365,23019,23019,0
1991-08-16,23021,23139,22798,22814,0
1991-08-19,22779,22779,21455,21457,0
1991-08-20,21486,21872,21309,21687,0
1991-08-21,21746,22441,21746,22052,0
1991-08-22,22111,22683,22111,22516,0
1991-08-23,22482,22482,22025,22065,0
1991-08-26,22064,22065,21534,21592,0
1991-08-27,21553,21872,21459,21641,0
1991-08-28,21665,21802,21572,21622,0
1991-08-29,21708,22057,21708,22002,0
1991-08-30,22059,22350,22059,22336,0
1991-09-02,22329,22594,22175,22469,0
1991-09-03,22517,22597,22419,22470,0
1991-09-04,22452,22462,22312,22403,0
1991-09-05,22391,22621,22370,22500,0
1991-09-06,22493,22999,22489,22693,0
1991-09-09,22727,22954,22574,22574,0
1991-09-10,22595,22612,22356,22412,0
1991-09-11,22355,22574,22270,22505,0
1991-09-12,22516,22723,22505,22530,0
1991-09-13,22558,23134,22558,23134,0
1991-09-17,23182,23560,23182,23444,0
1991-09-18,23440,23499,23259,23318,0
1991-09-19,23327,23582,23220,23332,0
1991-09-20,23382,23555,23179,23193,0
1991-09-24,23191,23462,23183,23334,0
1991-09-25,23404,23624,23404,23577,0
1991-09-26,23617,23974,23537,23968,0
1991-09-27,23982,24158,23927,23969,0
1991-09-30,23959,24046,23862,23916,0
1991-10-01,23910,24442,23862,24377,0
1991-10-02,24405,24477,24323,24375,0
1991-10-03,24372,24746,24262,24711,0
1991-10-04,24700,24703,24440,24597,0
1991-10-07,24560,24560,24312,24331,0
1991-10-08,24271,24387,24156,24156,0
1991-10-09,24140,24485,24115,24485,0
1991-10-11,24466,24467,24139,24158,0
1991-10-14,24126,24235,23861,23861,0
1991-10-15,23916,24308,23916,24308,0
1991-10-16,24318,24424,24221,24335,0
1991-10-17,24345,24643,24345,24440,0
1991-10-18,24486,24898,24486,24895,0
1991-10-21,24946,25101,24918,25017,0
1991-10-22,24943,24994,24755,24955,0
1991-10-23,24891,24891,24716,24800,0
1991-10-24,24838,25088,24838,24949,0
1991-10-25,24912,24974,24820,24906,0
1991-10-28,24912,25024,24864,24902,0
1991-10-29,25000,25255,25000,25141,0
1991-10-30,25157,25255,24981,24981,0
1991-10-31,24985,25223,24957,25222,0
1991-11-01,25167,25167,24948,25044,0
1991-11-05,25060,25101,24887,24951,0
1991-11-06,24911,24911,24722,24750,0
1991-11-07,24731,24845,24447,24447,0
1991-11-08,24544,24678,24389,24486,0
1991-11-11,24438,24438,24233,24233,0
1991-11-12,24259,24689,24259,24668,0
1991-11-13,24726,24814,24416,24416,0
1991-11-14,24413,24550,24089,24177,0
1991-11-15,24198,24245,23993,24099,0
1991-11-18,24011,24011,23310,23400,0
1991-11-19,23477,23673,23326,23327,0
1991-11-20,23272,23335,23018,23200,0
1991-11-21,23244,23379,22998,23178,0
